Date,Product Name,Units Sold,Revenue,Inventory Level,Category,Region
2023-01-01,Designer Jeans,3,294.34,200,Apparel,North
2023-01-01,Coffee Table,6,1101.31,36,Furniture,East
2023-01-01,Multivitamins,2,46.0,400,Health,East
2023-01-01,Office Desk,6,2030.16,47,Furniture,South
2023-01-01,Office Desk,6,2163.37,60,Furniture,South
2023-01-01,Winter Jacket,3,501.31,119,Apparel,East
2023-01-01,Ergonomic Chair,4,900.16,87,Furniture,East
2023-01-01,Running Shoes,4,491.28,165,Apparel,Central
2023-01-01,Coffee Table,4,649.02,54,Furniture,North
2023-01-01,Protein Powder,0,0.0,299,Health,South
2023-01-01,Protein Powder,2,78.12,309,Health,North
2023-01-01,Yoga Mat,7,222.78,128,Health,East
2023-01-01,Coffee Table,5,840.69,36,Furniture,North
2023-01-01,SmartPhone X,1,871.82,137,Electronics,East
2023-01-01,Coffee Table,1,175.87,55,Furniture,East
2023-01-01,Winter Jacket,12,1816.66,117,Apparel,West
2023-01-02,Designer Jeans,5,459.9,196,Apparel,South
2023-01-02,Designer Jeans,2,194.74,192,Apparel,Central
2023-01-02,Running Shoes,1,123.9,140,Apparel,East
2023-01-02,Designer Jeans,4,338.97,192,Apparel,South
2023-01-02,Protein Powder,4,145.0,306,Health,East
2023-01-02,Wireless Earbuds,1,146.85,192,Electronics,South
2023-01-02,Designer Jeans,6,547.61,216,Apparel,East
2023-01-02,Laptop Pro,7,9174.77,89,Electronics,North
2023-01-02,Ergonomic Chair,1,251.98,82,Furniture,Central
2023-01-02,Wireless Earbuds,7,1004.0,216,Electronics,Central
2023-01-02,Designer Jeans,7,604.33,201,Apparel,West
2023-01-02,Coffee Table,0,0.0,37,Furniture,North
2023-01-02,Multivitamins,6,146.85,396,Health,Central
2023-01-02,SmartPhone X,6,4333.52,127,Electronics,Central
2023-01-02,Coffee Table,0,0.0,31,Furniture,North
2023-01-02,Yoga Mat,0,0.0,118,Health,East
2023-01-02,Wireless Earbuds,5,772.66,216,Electronics,East
2023-01-02,SmartPhone X,5,4280.03,120,Electronics,North
2023-01-02,Running Shoes,1,110.29,161,Apparel,West
2023-01-02,Wireless Earbuds,5,775.33,193,Electronics,South
2023-01-02,Wireless Earbuds,2,305.48,210,Electronics,South
2023-01-02,Yoga Mat,2,69.61,113,Health,North
2023-01-02,Yoga Mat,2,73.65,134,Health,South
2023-01-02,Protein Powder,5,210.84,295,Health,North
2023-01-02,Running Shoes,7,875.39,164,Apparel,West
2023-01-02,Yoga Mat,2,63.44,115,Health,East
2023-01-02,Yoga Mat,0,0.0,112,Health,Central
2023-01-02,Ergonomic Chair,4,949.86,71,Furniture,East
2023-01-02,Designer Jeans,3,293.91,195,Apparel,North
2023-01-03,Ergonomic Chair,2,466.12,60,Furniture,West
2023-01-03,Coffee Table,7,1160.58,56,Furniture,Central
2023-01-03,Coffee Table,3,582.4,39,Furniture,East
2023-01-03,Office Desk,5,1888.63,45,Furniture,North
2023-01-03,Wireless Earbuds,0,0.0,215,Electronics,Central
2023-01-03,Multivitamins,7,186.13,397,Health,Central
2023-01-03,Winter Jacket,6,865.33,96,Apparel,North
2023-01-03,Ergonomic Chair,7,1744.69,59,Furniture,South
2023-01-03,Coffee Table,2,343.4,52,Furniture,South
2023-01-03,Ergonomic Chair,4,943.75,82,Furniture,East
2023-01-03,Protein Powder,7,274.61,318,Health,East
2023-01-03,Coffee Table,0,0.0,40,Furniture,Central
2023-01-03,Designer Jeans,5,449.75,205,Apparel,East
2023-01-03,Multivitamins,4,95.7,405,Health,North
2023-01-03,Winter Jacket,0,0.0,116,Apparel,Central
2023-01-03,SmartPhone X,4,2901.15,109,Electronics,North
2023-01-03,Office Desk,0,0.0,40,Furniture,Central
2023-01-03,Protein Powder,4,159.66,294,Health,East
2023-01-03,SmartPhone X,5,4137.71,119,Electronics,East
2023-01-03,Designer Jeans,6,511.66,194,Apparel,West
2023-01-03,Laptop Pro,6,7157.23,70,Electronics,West
2023-01-03,Running Shoes,4,470.29,154,Apparel,West
2023-01-03,Designer Jeans,0,0.0,215,Apparel,West
2023-01-03,Yoga Mat,4,145.48,111,Health,North
2023-01-03,Multivitamins,3,72.39,392,Health,East
2023-01-04,Designer Jeans,2,191.14,208,Apparel,North
2023-01-04,Office Desk,5,1636.03,39,Furniture,Central
